word,frequency
pengaruh,5550
kerja,5386
teliti,4381
variabel,3539
usaha,2535
signifikan,2440
uji,2363
karyawan,2256
nilai,1903
hasil,1781
analisis,1456
positif,1307
sampel,1174
data,1065
putus,1040
tuju,1022
parsial,996
metode,965
simultan,949
tingkat,927
kunci,891
regresi,886
beli,880
indonesia,853
pt,849
puas,844
t,776
dasar,767
ganda,745
saham,741
teknik,739
ratio,704
sampling,636
x,629
return,626
bursa,605
milik,602
efek,602
daftar,601
ambil,600
bimbing,584
harga,582
produk,564
kuantitatif,542
linier,539
motivasi,538
bangkal,536
dominan,534
f,481
oleh,478
periode,476
responden,474
uang,455
hipotesis,451
kualitas,450
konsumen,436
pegawai,426
bawah,426
mm,420
bank,413
populasi,408
kabupaten,408
r,407
madura,407
koefisien,401
on,395
to,392
organisasi,370
merek,370
equity,360
purposive,354
profitabilitas,351
faktor,344
studi,344
thitung,333
tbk,332
dekat,332
prestasi,330
disiplin,329
pimpin,324
trunojoyo,324
universitas,323
hitung,312
mahasiswa,299
asset,299
dr,293
surabaya,292
ukur,289
lingkung,289
modal,288
rasio,282
signifikansi,278
bei,277
komitmen,272
bebas,267
struktur,258
msi,254
analis,254
debt,254
promosi,254
langsung,248
layan,245
roa,241
camat,240
ttabel,235
kompensasi,234
sektor,230
pasar,230
laba,229
drs,222
citra,220
sisa,219
mana,214
ekonomi,214
ikat,210
tumbuh,209
jual,208
kembang,207
earning,207
biaya,206
asumsi,205
negatif,203
gaya,202
sehat,201
komunikasi,200
temu,199
of,199
persero,197
klasik,197
produktivitas,196
deskriptif,194
square,194
manajemen,194
daya,193
value,193
model,192
bersamasama,186
y,185
simpul,184
sumenep,179
stres,178
determinasi,177
mampu,175
kuesioner,172
bukti,172
batik,171
kumpul,170
independen,169
total,169
cabang,168
perilaku,167
fakultas,166
dividen,165
makan,162
dana,161
budaya,161
konflik,160
sosial,160
sumber,159
turnover,158
kompetensi,158
bisnis,157
orang,156
bijak,156
besar,156
share,156
ec,155
b,155
cerdas,154
beda,151
jenis,151
current,150
loyalitas,148
ajar,147
roe,146
pilih,145
size,145
langgan,145
investasi,145
fisik,145
hubung,144
pamekasan,141
tentu,140
sampang,140
salah,139
peran,137
beta,137
putar,137
desa,137
iklan,136
spss,135
minum,134
h,133
hj,132
likuiditas,130
fhitung,129
didik,129
margin,128
wawancara,128
laksana,126
stock,126
capital,126
validitas,125
program,125
industri,125
rumah,125
lapor,124
der,124
non,124
latih,123
signifikasi,122
internal,122
pribadi,122
dapat,120
instrumen,120
dependen,118
karir,117
volume,117
alat,114
net,114
dagang,113
terima,113
loan,113
price,113
marketing,112
reliabilitas,112
guna,111
individu,110
beban,110
baur,109
rajin,109
kriteria,108
guru,107
kas,107
random,107
persepsi,106
sekunder,106
dinas,106
emosional,106
optimal,106
eva,105
banding,105
assets,104
media,104
adjusted,104
dra,103
masyarakat,102
percaya,102
profit,102
dukung,102
split,102
leverage,101
variable,101
tabel,100
distribusi,100
added,100
linear,99
otomotif,99
strategi,99
